Timestamp,Flow_Probability,Inferred_State
2026-04-29 14:54:52,0.9990,Flow
2026-04-29 14:55:01,0.9181,Flow
2026-04-29 14:55:08,0.9981,Flow
2026-04-29 14:55:18,0.9950,Flow
2026-04-29 14:55:30,0.9947,Flow
2026-04-29 14:55:32,0.9830,Flow
2026-04-29 14:55:37,0.9830,Flow
2026-04-29 14:55:42,0.9830,Flow
2026-04-29 14:55:47,0.9830,Flow
2026-04-29 14:55:52,0.9830,Flow
2026-04-29 14:55:58,0.9830,Flow
2026-04-29 14:56:03,0.9830,Flow
2026-04-29 14:56:07,0.9830,Flow
2026-04-29 14:56:12,0.9830,Flow
2026-04-29 14:56:19,0.9830,Flow
2026-04-29 14:56:23,0.9830,Flow
2026-04-29 14:56:28,0.9830,Flow
2026-04-29 14:56:33,0.9830,Flow
2026-04-29 14:56:37,0.9830,Flow
2026-04-29 14:56:43,0.9830,Flow
2026-04-29 14:56:49,0.9830,Flow
2026-04-29 14:56:53,0.9830,Flow
2026-04-29 14:56:58,0.9830,Flow
2026-04-29 14:57:04,0.9830,Flow
2026-04-29 14:57:07,0.9830,Flow
2026-04-29 14:57:12,0.9830,Flow
2026-04-29 14:57:18,0.9830,Flow
2026-04-29 14:57:23,0.9830,Flow
2026-04-29 14:57:28,0.9830,Flow
2026-04-29 14:57:32,0.9830,Flow
2026-04-29 14:57:38,0.9830,Flow
2026-04-29 14:57:42,0.8869,Flow
2026-04-29 14:57:47,0.9830,Flow
2026-04-29 14:57:53,0.9830,Flow
2026-04-29 14:57:58,0.9830,Flow
2026-04-29 14:58:11,0.9830,Flow
2026-04-29 14:58:14,0.9830,Flow
2026-04-29 14:58:17,0.9784,Flow
2026-04-29 14:58:22,0.9830,Flow
2026-04-29 14:58:28,0.9830,Flow
2026-04-29 14:58:32,0.9830,Flow
2026-04-29 14:58:38,0.9830,Flow
2026-04-29 14:58:43,0.9830,Flow
2026-04-29 14:58:47,0.9830,Flow
2026-04-29 14:58:53,0.9830,Flow
2026-04-29 14:58:58,0.9830,Flow
2026-04-29 14:59:03,0.9830,Flow
2026-04-29 14:59:09,0.9830,Flow
2026-04-29 14:59:13,0.9830,Flow
2026-04-29 14:59:18,0.9830,Flow
2026-04-29 14:59:23,0.9830,Flow
2026-04-29 14:59:29,0.9830,Flow
2026-04-29 14:59:35,0.9830,Flow
2026-04-29 14:59:39,0.9830,Flow
2026-04-29 14:59:44,0.9830,Flow
2026-04-29 14:59:48,0.9830,Flow
2026-04-29 14:59:53,0.9830,Flow
2026-04-29 15:00:00,0.9830,Flow
2026-04-29 15:00:04,0.9830,Flow
